evento,serie,serie_id,rho,p,q,n,media_en_ventana,media_fuera
Elecciones generales 20-D,topic,35,-0.142822,0.200536,0.611809,82,0.0,0.007517
Elecciones generales 26-J,topic,35,-0.160713,0.149197,0.611809,82,0.0,0.007615
Moción de censura,topic,35,0.054147,0.628992,0.840262,82,0.010999,0.006846
Elecciones generales 28-A,topic,35,-0.034218,0.760223,0.905344,82,0.004258,0.007299
Elecciones generales 10-N,topic,35,0.148773,0.18222,0.611809,82,0.019939,0.006494
Investidura de 2020,topic,35,-0.030803,0.783532,0.908666,82,0.007324,0.007139
COVID-19: estado de alarma,topic,35,-0.081429,0.467066,0.740649,82,0.005231,0.007329
Guerra de Ucrania,topic,35,0.039379,0.725395,0.897859,82,0.015988,0.006452
Elecciones generales 20-D,topic,36,0.129834,0.245003,0.615336,82,0.229065,0.04409
Elecciones generales 26-J,topic,36,0.112801,0.312974,0.646604,82,0.218261,0.042389
Moción de censura,topic,36,0.049951,0.655843,0.864077,82,0.016422,0.05601
Elecciones generales 28-A,topic,36,0.138892,0.213333,0.611809,82,0.256691,0.042673
Elecciones generales 10-N,topic,36,0.015097,0.892914,0.973195,82,0.25,0.043016
Investidura de 2020,topic,36,-0.017668,0.874816,0.96832,82,0.2,0.043575
COVID-19: estado de alarma,topic,36,-0.068665,0.539896,0.784796,82,0.142857,0.044737
Guerra de Ucrania,topic,36,-0.172331,0.121581,0.611809,82,0.0,0.057306
Elecciones generales 20-D,topic,37,-0.177982,0.109653,0.611809,82,0.0,0.006789
Elecciones generales 26-J,topic,37,-0.200278,0.071219,0.611809,82,0.0,0.006877
Moción de censura,topic,37,-0.095917,0.391329,0.689018,82,0.00646,0.006458
Elecciones generales 28-A,topic,37,-0.177982,0.109653,0.611809,82,0.0,0.006789
Elecciones generales 10-N,topic,37,0.172589,0.121016,0.611809,82,0.013609,0.006091
Investidura de 2020,topic,37,0.013352,0.905231,0.974464,82,0.008534,0.006323
COVID-19: estado de alarma,topic,37,0.048854,0.662939,0.864385,82,0.009964,0.006131
Guerra de Ucrania,topic,37,0.153913,0.167405,0.611809,82,0.015829,0.005718
Elecciones generales 20-D,topic,38,-0.114782,0.304497,0.644495,82,0.0,0.00595
Elecciones generales 26-J,topic,38,-0.129161,0.247477,0.615336,82,0.0,0.006028
Moción de censura,topic,38,0.06702,0.549677,0.788246,82,0.002124,0.005939
Elecciones generales 28-A,topic,38,-0.114782,0.304497,0.644495,82,0.0,0.00595
Elecciones generales 10-N,topic,38,-0.114782,0.304497,0.644495,82,0.0,0.00595
Investidura de 2020,topic,38,-0.129161,0.247477,0.615336,82,0.0,0.006028
COVID-19: estado de alarma,topic,38,-0.15485,0.164805,0.611809,82,0.0,0.006188
Guerra de Ucrania,topic,38,0.097737,0.382363,0.688027,82,0.010665,0.005265
Elecciones generales 20-D,topic,39,0.096617,0.387865,0.688242,82,0.005115,0.009394
Elecciones generales 26-J,topic,39,-0.156285,0.160876,0.611809,82,0.0,0.009782
Moción de censura,topic,39,0.327167,0.002698,0.611809,82,0.066079,0.004694
Elecciones generales 28-A,topic,39,-0.138887,0.213349,0.611809,82,0.0,0.009656
Elecciones generales 10-N,topic,39,-0.009058,0.935629,0.974464,82,0.003922,0.009455
Investidura de 2020,topic,39,-0.061155,0.585208,0.809886,82,0.001509,0.009684
COVID-19: estado de alarma,topic,39,-0.105904,0.343666,0.656069,82,0.001078,0.009942
Guerra de Ucrania,topic,39,-0.094903,0.396376,0.689018,82,0.000475,0.009873
Elecciones generales 20-D,topic,4,-0.181902,0.101928,0.611809,82,0.0,0.041168
Elecciones generales 26-J,topic,4,-0.204689,0.065087,0.611809,82,0.0,0.041703
Moción de censura,topic,4,-0.144932,0.193897,0.611809,82,0.002415,0.042061
Elecciones generales 28-A,topic,4,-0.181902,0.101928,0.611809,82,0.0,0.041168
Elecciones generales 10-N,topic,4,-0.094963,0.396077,0.689018,82,0.001961,0.041068
Investidura de 2020,topic,4,0.069835,0.532998,0.784796,82,0.23273,0.026591
COVID-19: estado de alarma,topic,4,0.212404,0.055391,0.611809,82,0.243173,0.020119
Guerra de Ucrania,topic,4,0.123911,0.267379,0.615336,82,0.03011,0.039875
Elecciones generales 20-D,topic,40,-0.011197,0.920469,0.974464,82,0.01626,0.005409
Elecciones generales 26-J,topic,40,-0.182702,0.100404,0.611809,82,0.0,0.006324
Moción de censura,topic,40,0.081044,0.469183,0.740649,82,0.005494,0.005973
Elecciones generales 28-A,topic,40,-0.053188,0.635088,0.843604,82,0.003041,0.006087
Elecciones generales 10-N,topic,40,0.092379,0.409117,0.694615,82,0.009832,0.005739
Investidura de 2020,topic,40,-0.066781,0.551104,0.788246,82,0.003944,0.006068
COVID-19: estado de alarma,topic,40,-0.031291,0.780189,0.908666,82,0.005027,0.006023
Guerra de Ucrania,topic,40,-0.074097,0.508234,0.766841,82,0.000669,0.006354
Elecciones generales 20-D,topic,41,0.139847,0.210173,0.611809,82,0.015378,0.005192
Elecciones generales 26-J,topic,41,-0.160713,0.149197,0.611809,82,0.0,0.006058
Moción de censura,topic,41,0.039379,0.725395,0.897859,82,0.007491,0.005547
Elecciones generales 28-A,topic,41,-0.142822,0.200536,0.611809,82,0.0,0.00598
Elecciones generales 10-N,topic,41,0.056534,0.613925,0.827533,82,0.003797,0.005786
Investidura de 2020,topic,41,-0.062946,0.574247,0.80668,82,0.002254,0.005912
COVID-19: estado de alarma,topic,41,-0.108954,0.329867,0.654189,82,0.00161,0.006069
Guerra de Ucrania,topic,41,0.009845,0.93005,0.974464,82,0.004343,0.005795
Elecciones generales 20-D,topic,42,0.145952,0.190744,0.611809,82,0.011417,0.006174
Elecciones generales 26-J,topic,42,0.14809,0.184257,0.611809,82,0.022949,0.005357
Moción de censura,topic,42,-0.01637,0.883946,0.973195,82,0.00451,0.006581
Elecciones generales 28-A,topic,42,-0.1509,0.175979,0.611809,82,0.001825,0.006666
Elecciones generales 10-N,topic,42,-0.03958,0.724051,0.897859,82,0.004073,0.00655
Investidura de 2020,topic,42,-0.17704,0.111575,0.611809,82,0.00169,0.006737
COVID-19: estado de alarma,topic,42,-0.149701,0.179476,0.611809,82,0.002589,0.006788
Guerra de Ucrania,topic,42,-0.300795,0.006035,0.611809,82,0.0,0.006937
Elecciones generales 20-D,topic,43,0.086467,0.439865,0.724426,82,0.010316,0.006679
Elecciones generales 26-J,topic,43,0.069069,0.537513,0.784796,82,0.00936,0.006694
Moción de censura,topic,43,-0.082604,0.460642,0.740649,82,0.006609,0.006876
Elecciones generales 28-A,topic,43,0.014614,0.896319,0.973195,82,0.008046,0.006796
Elecciones generales 10-N,topic,43,0.060892,0.586825,0.809886,82,0.007093,0.006845
